pC,pA,pB,Q_stochastic,Q_input_state,Percentage Difference
0.0,0.6000000000000001,0.8,71685.23712795896,71538.84891694298,0.2042097046490494
0.0,0.6000000000000001,0.9,71404.74623858725,71921.50466345185,-0.7237031879336678
0.0,0.6000000000000001,1.0,71841.97782722149,72058.30910506117,-0.3011209941351444
0.0,0.7000000000000001,0.0,58701.96911329345,59033.89560605776,-0.5654435409546457
0.0,0.7000000000000001,0.1,61416.02832535237,61863.022315167706,-0.7278132468081153
0.0,0.7000000000000001,0.2,64302.53692058449,64351.63692889711,-0.07635780898234232
0.0,0.7000000000000001,0.30000000000000004,66968.10927057458,66499.73944724601,0.6993923352922967
0.0,0.7000000000000001,0.4,68117.77468520665,68307.32987021441,-0.2782756569540831
0.0,0.7000000000000001,0.5,70210.264499506,69774.4081978023,0.6207871524351838
0.0,0.7000000000000001,0.6000000000000001,71243.29987601828,70900.97443000966,0.4805019512071336
0.0,0.7000000000000001,0.7000000000000001,71284.3394787851,71687.02856683654,-0.5649054069881426
0.0,0.7000000000000001,0.8,72509.96801069017,72132.57060828291,0.5204765810289869
0.0,0.7000000000000001,0.9,72133.63343026851,72237.60055434876,-0.1441312729390606
0.0,0.7000000000000001,1.0,71902.00686678302,72002.11840503411,-0.13923330184173174
0.0,0.8,0.0,58221.18036714498,58102.549912451155,0.20375824389979413
0.0,0.8,0.1,61730.49339110613,61503.340537631695,0.3679751140741132
0.0,0.8,0.2,64406.440472474955,64438.29995938297,-0.049466305969252417
0.0,0.8,0.30000000000000004,66674.86688818561,66907.428177705,-0.3487990308393104
0.0,0.8,0.4,69673.0982652891,68910.7251925978,1.0942143979136099
0.0,0.8,0.5,70545.48695786748,70448.19100406137,0.13791945878014888
0.0,0.8,0.6000000000000001,71560.22959594215,71519.82561209568,0.0564615067260181
0.0,0.8,0.7000000000000001,72264.39146491447,72125.62901670074,0.19202050332230913
0.0,0.8,0.8,72226.44004422569,72265.60121787657,-0.05421999703557217
0.0,0.8,0.9,72398.37434761066,71939.74221562315,0.6334840196624516
0.0,0.8,1.0,71640.1595084007,71148.0520099405,0.6869156934282038
0.0,0.9,0.0,56822.61239226949,56832.91888766848,-0.018138017534003653
0.0,0.9,0.1,61016.40952921602,60897.37682158555,0.1950831072311326
0.0,0.9,0.2,64505.3169018003,64340.02612645686,0.25624364514799847
0.0,0.9,0.30000000000000004,67666.22047645086,67160.86680228243,0.746833014479225
0.0,0.9,0.4,69380.97227871741,69359.89884906224,0.03037350005778391
0.0,0.9,0.5,70951.17842547728,70937.1222667963,0.01981102920755831
